Hour,Electric Load (kW)
1602,1225.901
1603,913.033
1604,906.305
1605,740.304
1606,702.132
1607,591.009
1608,593.46
1609,581.837
1610,579.456
1611,572.565
1612,572.503
1613,711.352
1614,713.848
1615,985.544
1616,1135.342
1617,1178.814
1618,1213.41
1619,1223.306
1620,1227.079
1621,1187.114
1622,1221.635
1623,1222.526
1624,1223.155
1625,1228.727
1626,1227.56
1627,913.418
1628,906.095
1629,738.285
1630,698.741
1631,586.106
1632,586.481
1633,573.54
1634,573.284
1635,573.193
1636,573.158
1637,712.917
1638,716.427
1639,989.472
1640,1135.873
1641,1179.796
1642,1215.962
1643,1225.74
1644,1229.302
1645,1189.653
1646,1224.812
1647,1225.843
1648,1227.036
1649,1233.164
1650,1231.19
1651,913
1652,904.77
1653,737.38
1654,697.18
1655,584.507
1656,585.253
1657,573.485
1658,578.938
1659,581.308
1660,583.406
1661,608.15
1662,605.506
1663,690.303
1664,826.679
1665,839.483
1666,962.494
1667,973.545
1668,977.58
1669,940.609
1670,930.516
1671,930.334
1672,840.105
1673,846.505
1674,802.563
1675,760.073
1676,754.39
1677,621.187
1678,618.396
1679,589.412
1680,594.255
1681,568.624
1682,574.687
1683,576.69
1684,610.393
1685,619.412
1686,720.543
1687,711.941
1688,789.814
1689,788.418
1690,797.489
1691,811.792
1692,800.316
1693,786.044
1694,790.188
1695,793.424
1696,767.263
1697,703.156
1698,637.189
1699,644.796
1700,612.106
1701,614.837
1702,579.755
1703,583.646
1704,589.94
1705,596.334
1706,603.925
1707,603.736
1708,740.823
1709,748.582
1710,1027.501
1711,1163.016
1712,1185.446
1713,1207.48
1714,1216.264
1715,1221.441
1716,1225.289
1717,1297.185
1718,1249.801
1719,1222.615
1720,1228.129
1721,1224.536
1722,891.391
1723,904.417
1724,737.321
1725,700.177
1726,592.823
1727,597.938
1728,586.571
1729,601.763
1730,599.76
1731,600.863
1732,722.232
1733,719.833
1734,1009.412
1735,1150.279
1736,1182.604
1737,1215.772
1738,1225.005
1739,1221.376
1740,1180.733
1741,1219.716
1742,1215.954
1743,1214.779
1744,1225.483
1745,1228.403
1746,916.235
1747,938.314
1748,766.946
1749,726.113
1750,612.252
1751,614.625
1752,607.697
1753,606.279
1754,607.575
1755,613.312
1756,748.506
1757,750.451
1758,1037.12
1759,1179.728
1760,1207.902
